"UserPrincipalName","StartDateTime","EndDateTime","CallerNumber","CalleeNumber","FromDescription","ToDescription","PstnGateway","CallDirection","Duration","Rate","CallCharge","ChargeTo","ChargeToCompany","ChargeToDepartment","Id","CorrelationId","SuccessfulCall","Debug","ReferredByNumberRegion"
"demo.amy@ucgeek.co","15/07/2020 7:55:50 AM","15/07/2020 7:56:03 AM","+6498926***","+6421882***","NEW ZEALAND :: NZ Not Selected","NEW ZEALAND :: Mobile","ucgeek.sbc2.voiceswitch.nz","Outbound Call","13","0.07","0.07","Amy Alberts (UC Geek) (demo.amy@ucgeek.co)","**Need to do an AD lookup**","**Need to do an AD lookup**","25752f38-a997-5751-87da-156fe6db963e","b4372d38-b8b1-4245-b7f4-20dd5991264d","True","SipCode: 0 MsCode: 0 Info: CallEndReasonLocalUserInitiated","**Need to find a way to related records - so far looks difficult**"
"demo.amy@ucgeek.co","15/07/2020 7:56:18 AM","15/07/2020 7:56:22 AM","+6498926***","+6421882***","NEW ZEALAND :: NZ Not Selected","NEW ZEALAND :: Mobile","ucgeek.sbc2.voiceswitch.nz","Outbound Call","4","0.07","0.07","Amy Alberts (UC Geek) (demo.amy@ucgeek.co)","**Need to do an AD lookup**","**Need to do an AD lookup**","13d5ba77-035c-5c29-975b-3f2ea67739d0","4cfddf1f-0461-4aa9-a394-a3260c9d5273","True","SipCode: 0 MsCode: 0 Info: CallEndReasonLocalUserInitiated","**Need to find a way to related records - so far looks difficult**"
"demo.amy@ucgeek.co","15/07/2020 7:56:48 AM","15/07/2020 7:56:52 AM","+6498926***","+6421882***","NEW ZEALAND :: NZ Not Selected","NEW ZEALAND :: Mobile","ucgeek.sbc2.voiceswitch.nz","Outbound Call","4","0.07","0.07","Amy Alberts (UC Geek) (demo.amy@ucgeek.co)","**Need to do an AD lookup**","**Need to do an AD lookup**","425736ae-d598-547f-8c34-832089a3cfb3","25e78c7c-6d01-439c-b7f8-863bd9480139","True","SipCode: 0 MsCode: 560000 Info: Q.850;cause=16;text=""NORMAL_CLEARING""","**Need to find a way to related records - so far looks difficult**"
"demo.amy@ucgeek.co","8/08/2020 2:13:29 AM","8/08/2020 2:14:36 AM","+6498926461","+6421882411","NEW ZEALAND :: NZ Not Selected","NEW ZEALAND :: Mobile","ucgeek.sbc2.voiceswitch.nz","Outbound Call","67","0.07","0.0782","Amy Alberts (UC Geek) (demo.amy@ucgeek.co)","**Need to do an AD lookup**","**Need to do an AD lookup**","4a9d1bef-9069-5586-bec7-4c10c1f95af6","61f2d45f-98fb-4b3e-a450-3cc3682348ec","True","SipCode: 0 MsCode: 560000 Info: Q.850;cause=16;text=""NORMAL_CLEARING""","**Need to find a way to related records - so far looks difficult**"
"demo.amy@ucgeek.co","8/08/2020 2:15:26 AM","8/08/2020 2:15:58 AM","+6421882411","+6499702706","NEW ZEALAND :: Mobile","NEW ZEALAND :: Auckland","ucgeek.sbc2.voiceswitch.nz","Outbound Forward","32","0.01","0.01","Amy Alberts (UC Geek) (demo.amy@ucgeek.co)","**Need to do an AD lookup**","**Need to do an AD lookup**","106c2156-1506-5f35-a2bb-aabb45ec7b11","14b8fd43-97d0-4968-b380-186d749881d9","True","SipCode: 0 MsCode: 560000 Info: Q.850;cause=16;text=""NORMAL_CLEARING""","**Need to find a way to related records - so far looks difficult**"
"demo.amy@ucgeek.co","8/08/2020 2:20:59 AM","8/08/2020 2:21:57 AM","+6498926461","+6421882411","NEW ZEALAND :: NZ Not Selected","NEW ZEALAND :: Mobile","ucgeek.sbc2.voiceswitch.nz","Outbound Call","58","0.07","0.07","Amy Alberts (UC Geek) (demo.amy@ucgeek.co)","**Need to do an AD lookup**","**Need to do an AD lookup**","bec23aa7-67da-51b7-b15c-e26262ee8c9c","3ae6d308-4d7f-40f4-917f-8d2a98d7714e","True","SipCode: 0 MsCode: 0 Info: CallEndReasonLocalUserInitiated","**Need to find a way to related records - so far looks difficult**"
"demo.amy@ucgeek.co","8/08/2020 2:21:56 AM","8/08/2020 2:22:48 AM","+6421882411","+6499702706","NEW ZEALAND :: Mobile","NEW ZEALAND :: Auckland","ucgeek.sbc2.voiceswitch.nz","Outbound Transfer","52","0.01","0.01","Amy Alberts (UC Geek) (demo.amy@ucgeek.co)","**Need to do an AD lookup**","**Need to do an AD lookup**","d860a4c2-a3e7-5784-be64-3899a261de80","95a5ebd1-f362-470f-9539-bfe6a509af13","True","SipCode: 0 MsCode: 560000 Info: Q.850;cause=16;text=""NORMAL_CLEARING""","**Need to find a way to related records - so far looks difficult**"
"demo.amy@ucgeek.co","8/08/2020 2:25:56 AM","8/08/2020 2:26:16 AM","+6421882411","+6498926461","NEW ZEALAND :: Mobile","NEW ZEALAND :: NZ Not Selected","ucgeek.sbc2.voiceswitch.nz","Inbound Call","20","0","0","Amy Alberts (UC Geek) (demo.amy@ucgeek.co)","**Need to do an AD lookup**","**Need to do an AD lookup**","a13be4d7-3617-5650-bdde-7dd90e2628a2","11ab5159-cfef-47b9-abca-8bfc23d9dafb","True","SipCode: 0 MsCode: 540000 Info: Q.850;cause=16;text=""NORMAL_CLEARING""","**Need to find a way to related records - so far looks difficult**"
"demo.amy@ucgeek.co","8/08/2020 2:26:51 AM","8/08/2020 2:27:16 AM","+6421882411","+6498926461","NEW ZEALAND :: Mobile","NEW ZEALAND :: NZ Not Selected","ucgeek.sbc2.voiceswitch.nz","Inbound Call","25","0","0","Amy Alberts (UC Geek) (demo.amy@ucgeek.co)","**Need to do an AD lookup**","**Need to do an AD lookup**","76daf221-47d6-59ad-84f0-0dc5aed696fa","cf8c656f-89f3-460d-9f1a-9c1fbcd91e90","True","SipCode: 0 MsCode: 0 Info: CallEndReasonLocalUserInitiated","**Need to find a way to related records - so far looks difficult**"
"demo.amy@ucgeek.co","8/08/2020 2:27:14 AM","8/08/2020 2:27:26 AM","+6421882411","+6499702706","NEW ZEALAND :: Mobile","NEW ZEALAND :: Auckland","ucgeek.sbc2.voiceswitch.nz","Outbound Transfer","12","0.01","0.01","Amy Alberts (UC Geek) (demo.amy@ucgeek.co)","**Need to do an AD lookup**","**Need to do an AD lookup**","6e363a0d-5f19-5b22-8df6-c0bdc231cb8a","3fe3b283-61ee-4d07-b616-15e185fee101","True","SipCode: 0 MsCode: 560000 Info: Q.850;cause=16;text=""NORMAL_CLEARING""","**Need to find a way to related records - so far looks difficult**"
"demo.amy@ucgeek.co","8/08/2020 2:27:38 AM","8/08/2020 2:27:38 AM","+6421882411","+6498926461","NEW ZEALAND :: Mobile","NEW ZEALAND :: NZ Not Selected","ucgeek.sbc2.voiceswitch.nz","Inbound Call","0","0","0","Amy Alberts (UC Geek) (demo.amy@ucgeek.co)","**Need to do an AD lookup**","**Need to do an AD lookup**","3c7ab512-1441-5a96-b396-90488f87044a","c2404f61-44f5-4564-bafb-7fc0e5f99fda","False","SipCode: 487 MsCode: 540487 Info: ORIGINATOR_CANCEL","**Need to find a way to related records - so far looks difficult**"
"demo.amy@ucgeek.co","8/08/2020 2:28:19 AM","8/08/2020 2:28:38 AM","+6421882411","+6498926461","NEW ZEALAND :: Mobile","NEW ZEALAND :: NZ Not Selected","ucgeek.sbc2.voiceswitch.nz","Inbound Call","19","0","0","Amy Alberts (UC Geek) (demo.amy@ucgeek.co)","**Need to do an AD lookup**","**Need to do an AD lookup**","9d601ea5-c63d-5109-b84f-2988c0766bff","d0c647dc-b50e-422a-87c7-c55e60e1b154","True","SipCode: 0 MsCode: 540000 Info: Q.850;cause=16;text=""NORMAL_CLEARING""","**Need to find a way to related records - so far looks difficult**"
